sectionid,teacherid,name,period,grade,capacity,subject
1,1,'English 6 Period: 1 [1]',1,6,20,'English'
2,2,'Mathematics 6 Period: 1 [2]',1,6,20,'Mathematics'
3,3,'History 6 Period: 1 [3]',1,6,20,'History'
4,4,'Science 6 Period: 1 [4]',1,6,20,'Science'
5,5,'Lunch 6 Period: 1 [5]',1,6,20,'Lunch'
6,6,'English 6 Period: 1 [6]',1,6,20,'English'
7,7,'Mathematics 6 Period: 1 [7]',1,6,23,'Mathematics'
8,8,'English 7 Period: 1 [8]',1,7,20,'English'
9,9,'Mathematics 7 Period: 1 [9]',1,7,20,'Mathematics'
10,10,'History 7 Period: 1 [10]',1,7,24,'History'
11,11,'English 8 Period: 1 [11]',1,8,20,'English'
12,12,'Mathematics 8 Period: 1 [12]',1,8,20,'Mathematics'
13,13,'History 8 Period: 1 [13]',1,8,20,'History'
14,14,'Science 8 Period: 1 [14]',1,8,20,'Science'
15,15,'Lunch 8 Period: 1 [15]',1,8,13,'Lunch'
16,16,'English 6 Period: 2 [16]',2,6,20,'English'
17,17,'Mathematics 6 Period: 2 [17]',2,6,20,'Mathematics'
18,18,'History 6 Period: 2 [18]',2,6,20,'History'
19,19,'Science 6 Period: 2 [19]',2,6,20,'Science'
20,20,'Lunch 6 Period: 2 [20]',2,6,20,'Lunch'
21,1,'English 6 Period: 2 [21]',2,6,20,'English'
22,2,'Mathematics 6 Period: 2 [22]',2,6,23,'Mathematics'
23,3,'English 7 Period: 2 [23]',2,7,20,'English'
24,4,'Mathematics 7 Period: 2 [24]',2,7,20,'Mathematics'
25,5,'History 7 Period: 2 [25]',2,7,24,'History'
26,6,'English 8 Period: 2 [26]',2,8,20,'English'
27,7,'Mathematics 8 Period: 2 [27]',2,8,20,'Mathematics'
28,8,'History 8 Period: 2 [28]',2,8,20,'History'
29,9,'Science 8 Period: 2 [29]',2,8,20,'Science'
30,10,'Lunch 8 Period: 2 [30]',2,8,13,'Lunch'
31,11,'English 6 Period: 3 [31]',3,6,20,'English'
32,12,'Mathematics 6 Period: 3 [32]',3,6,20,'Mathematics'
33,13,'History 6 Period: 3 [33]',3,6,20,'History'
34,14,'Science 6 Period: 3 [34]',3,6,20,'Science'
35,15,'Lunch 6 Period: 3 [35]',3,6,20,'Lunch'
36,16,'English 6 Period: 3 [36]',3,6,20,'English'
37,17,'Mathematics 6 Period: 3 [37]',3,6,23,'Mathematics'
38,18,'English 7 Period: 3 [38]',3,7,20,'English'
39,19,'Mathematics 7 Period: 3 [39]',3,7,20,'Mathematics'
40,20,'History 7 Period: 3 [40]',3,7,24,'History'
41,1,'English 8 Period: 3 [41]',3,8,20,'English'
42,2,'Mathematics 8 Period: 3 [42]',3,8,20,'Mathematics'
43,3,'History 8 Period: 3 [43]',3,8,20,'History'
44,4,'Science 8 Period: 3 [44]',3,8,20,'Science'
45,5,'Lunch 8 Period: 3 [45]',3,8,13,'Lunch'
46,6,'English 6 Period: 4 [46]',4,6,20,'English'
47,7,'Mathematics 6 Period: 4 [47]',4,6,20,'Mathematics'
48,8,'History 6 Period: 4 [48]',4,6,20,'History'
49,9,'Science 6 Period: 4 [49]',4,6,20,'Science'
50,10,'Lunch 6 Period: 4 [50]',4,6,20,'Lunch'
51,11,'English 6 Period: 4 [51]',4,6,20,'English'
52,12,'Mathematics 6 Period: 4 [52]',4,6,23,'Mathematics'
53,13,'English 7 Period: 4 [53]',4,7,20,'English'
54,14,'Mathematics 7 Period: 4 [54]',4,7,20,'Mathematics'
55,15,'History 7 Period: 4 [55]',4,7,24,'History'
56,16,'English 8 Period: 4 [56]',4,8,20,'English'
57,17,'Mathematics 8 Period: 4 [57]',4,8,20,'Mathematics'
58,18,'History 8 Period: 4 [58]',4,8,20,'History'
59,19,'Science 8 Period: 4 [59]',4,8,20,'Science'
60,20,'Lunch 8 Period: 4 [60]',4,8,13,'Lunch'
61,1,'English 6 Period: 5 [61]',5,6,20,'English'
62,2,'Mathematics 6 Period: 5 [62]',5,6,20,'Mathematics'
63,3,'History 6 Period: 5 [63]',5,6,20,'History'
64,4,'Science 6 Period: 5 [64]',5,6,20,'Science'
65,5,'Lunch 6 Period: 5 [65]',5,6,20,'Lunch'
66,6,'English 6 Period: 5 [66]',5,6,20,'English'
67,7,'Mathematics 6 Period: 5 [67]',5,6,23,'Mathematics'
68,8,'English 7 Period: 5 [68]',5,7,20,'English'
69,9,'Mathematics 7 Period: 5 [69]',5,7,20,'Mathematics'
70,10,'History 7 Period: 5 [70]',5,7,24,'History'
71,11,'English 8 Period: 5 [71]',5,8,20,'English'
72,12,'Mathematics 8 Period: 5 [72]',5,8,20,'Mathematics'
73,13,'History 8 Period: 5 [73]',5,8,20,'History'
74,14,'Science 8 Period: 5 [74]',5,8,20,'Science'
75,15,'Lunch 8 Period: 5 [75]',5,8,13,'Lunch'
